canonical_index,abbr,book,start_year,end_year,sort_year,start_label,end_label,sort_label,confidence,note
1,Gen,Genesis,-550,-400,-475,550 BCE,400 BCE,475 BCE,medium,Post-exilic synthesis of Priestly and non-Priestly material.
2,Exod,Exodus,-700,-400,-550,700 BCE,400 BCE,550 BCE,low,Composite anthology spanning multiple periods; final form post-exilic.
3,Lev,Leviticus,-600,-400,-500,600 BCE,400 BCE,500 BCE,medium,"Predominantly Priestly, exilic or post-exilic."
4,Num,Numbers,-700,-400,-550,700 BCE,400 BCE,550 BCE,low,Priestly redaction over older narrative strata.
5,Deut,Deuteronomy,-700,-400,-550,700 BCE,400 BCE,550 BCE,medium,Late monarchic law core with exilic and post-exilic expansions.
6,Josh,Joshua,-620,-500,-560,620 BCE,500 BCE,560 BCE,medium,Part of the Deuteronomistic history with later editorial growth.
7,Judg,Judges,-620,-500,-560,620 BCE,500 BCE,560 BCE,medium,Part of the Deuteronomistic history with exilic shaping.
8,Ruth,Ruth,-500,-300,-400,500 BCE,300 BCE,400 BCE,medium,Commonly dated to the Persian period.
9,1Sam,1 Samuel,-620,-500,-560,620 BCE,500 BCE,560 BCE,medium,Part of the Deuteronomistic history with exilic shaping.
10,2Sam,2 Samuel,-620,-500,-560,620 BCE,500 BCE,560 BCE,medium,Part of the Deuteronomistic history with exilic shaping.
11,1Kgs,1 Kings,-620,-500,-560,620 BCE,500 BCE,560 BCE,medium,Part of the Deuteronomistic history with exilic shaping.
12,2Kgs,2 Kings,-620,-500,-560,620 BCE,500 BCE,560 BCE,medium,Part of the Deuteronomistic history with exilic shaping.
13,1Chr,1 Chronicles,-400,-250,-325,400 BCE,250 BCE,325 BCE,medium,Chronicles is commonly placed in the Persian or early Hellenistic era.
14,2Chr,2 Chronicles,-400,-250,-325,400 BCE,250 BCE,325 BCE,medium,Chronicles is commonly placed in the Persian or early Hellenistic era.
15,Ezra,Ezra,-350,-200,-275,350 BCE,200 BCE,275 BCE,medium,Final form often placed in the late Persian to Ptolemaic period.
16,Neh,Nehemiah,-350,-200,-275,350 BCE,200 BCE,275 BCE,medium,Final form often placed in the late Persian to Ptolemaic period.
17,Esth,Esther,-400,-250,-325,400 BCE,250 BCE,325 BCE,medium,Often dated to the 4th or 3rd century BCE.
18,Job,Job,-600,-400,-500,600 BCE,400 BCE,500 BCE,medium,Commonly dated between the 6th and 4th centuries BCE.
19,Ps,Psalm,-1000,-100,-550,1000 BCE,100 BCE,550 BCE,low,Layered anthology with long transmission and expansion history.
20,Prov,Proverbs,-900,-300,-600,900 BCE,300 BCE,600 BCE,low,Collection of collections assembled over many centuries.
21,Eccl,Ecclesiastes,-450,-180,-315,450 BCE,180 BCE,315 BCE,high,Usually dated between Persian and early Hellenistic periods.
22,Song,Song of Solomon,-500,-200,-350,500 BCE,200 BCE,350 BCE,low,"Often placed in the post-exilic period, with broad uncertainty."
23,Isa,Isaiah,-740,-500,-620,740 BCE,500 BCE,620 BCE,medium,"Composite work spanning Proto-, Deutero-, and Trito-Isaiah layers."
24,Jer,Jeremiah,-650,-200,-425,650 BCE,200 BCE,425 BCE,low,Core prophetic material with major editorial development and textual recensions.
25,Lam,Lamentations,-586,-500,-543,586 BCE,500 BCE,543 BCE,medium,Usually tied to the destruction of Jerusalem and early exilic aftermath.
26,Ezek,Ezekiel,-593,-500,-546,593 BCE,500 BCE,546 BCE,medium,Vision core dates to exile; later school additions likely present.
27,Dan,Daniel,-167,-164,-165,167 BCE,164 BCE,165 BCE,high,Widely dated to the Maccabean period.
28,Hos,Hosea,-750,-700,-725,750 BCE,700 BCE,725 BCE,medium,Core prophetic tradition in the late 8th century BCE.
