canonical_index,abbr,book,start_year,end_year,sort_year,start_label,end_label,sort_label,confidence,note
1,Gen,Genesis,-1500,-1400,-1450,1500 BCE,1400 BCE,1450 BCE,low,Traditional Mosaic authorship window.
2,Exod,Exodus,-1500,-1400,-1450,1500 BCE,1400 BCE,1450 BCE,low,Traditional Mosaic authorship window.
3,Lev,Leviticus,-1500,-1400,-1450,1500 BCE,1400 BCE,1450 BCE,low,Traditional Mosaic authorship window.
4,Num,Numbers,-1500,-1400,-1450,1500 BCE,1400 BCE,1450 BCE,low,Traditional Mosaic authorship window.
5,Deut,Deuteronomy,-1500,-1400,-1450,1500 BCE,1400 BCE,1450 BCE,low,Traditional Mosaic authorship window.
6,Josh,Joshua,-1400,-1300,-1350,1400 BCE,1300 BCE,1350 BCE,low,Traditional attribution to Joshua with later updates.
7,Judg,Judges,-1100,-1000,-1050,1100 BCE,1000 BCE,1050 BCE,low,Traditional attribution to Samuel-era compilation.
8,Ruth,Ruth,-1050,-1000,-1025,1050 BCE,1000 BCE,1025 BCE,low,Traditionally linked to early monarchy context.
9,1Sam,1 Samuel,-1000,-930,-965,1000 BCE,930 BCE,965 BCE,low,Traditional attribution to Samuel/Gad/Nathan tradition.
10,2Sam,2 Samuel,-980,-920,-950,980 BCE,920 BCE,950 BCE,low,Traditional attribution to Samuel/Gad/Nathan tradition.
11,1Kgs,1 Kings,-970,-560,-765,970 BCE,560 BCE,765 BCE,low,Traditionally linked to prophetic historiography.
12,2Kgs,2 Kings,-970,-560,-765,970 BCE,560 BCE,765 BCE,low,Traditionally linked to prophetic historiography.
13,1Chr,1 Chronicles,-500,-430,-465,500 BCE,430 BCE,465 BCE,medium,Traditionally attributed to Ezra.
14,2Chr,2 Chronicles,-500,-430,-465,500 BCE,430 BCE,465 BCE,medium,Traditionally attributed to Ezra.
15,Ezra,Ezra,-460,-430,-445,460 BCE,430 BCE,445 BCE,medium,Traditionally linked to Ezra's own period.
16,Neh,Nehemiah,-445,-430,-437,445 BCE,430 BCE,437 BCE,medium,Traditionally linked to Nehemiah's memoirs.
17,Esth,Esther,-470,-460,-465,470 BCE,460 BCE,465 BCE,low,Traditional Persian-era placement shortly after events.
18,Job,Job,-1500,-1400,-1450,1500 BCE,1400 BCE,1450 BCE,low,Traditional patriarchal-era setting/authorship view.
19,Ps,Psalm,-1000,-400,-700,1000 BCE,400 BCE,700 BCE,low,Traditional Davidic-centered anthology with later additions.
20,Prov,Proverbs,-950,-700,-825,950 BCE,700 BCE,825 BCE,low,Traditional Solomonic core with later editorial collection.
21,Eccl,Ecclesiastes,-950,-930,-940,950 BCE,930 BCE,940 BCE,low,Traditional Solomonic attribution.
22,Song,Song of Solomon,-950,-930,-940,950 BCE,930 BCE,940 BCE,low,Traditional Solomonic attribution.
23,Isa,Isaiah,-740,-680,-710,740 BCE,680 BCE,710 BCE,medium,Traditional attribution centered on 8th-century Isaiah ministry.
